Index,Timestamp,Water,Surrounding,Humidity,SR-04,Gas,Growth
1,10/1/2024 0:00,25,22,60,150,200,
2,10/1/2024 1:00,25.1,22.1,59,148,198,
3,10/1/2024 2:00,25.2,22.2,58,147,202,
4,10/1/2024 3:00,25.3,22.3,57,146,205,
5,10/1/2024 4:00,25.4,22.4,56,145,207,
6,10/1/2024 5:00,25.5,22.5,55,144,210,
7,10/1/2024 6:00,25.6,22.6,54,143,212,
8,10/1/2024 7:00,25.7,22.7,53,142,215,
9,10/1/2024 8:00,25.8,22.8,52,141,218,
10,10/1/2024 9:00,25.9,22.9,51,140,220,
11,10/1/2024 10:00,26,23,50,139,225,
12,10/1/2024 11:00,26.1,23.1,49,138,230,
13,10/1/2024 12:00,26.2,23.2,48,137,235,
14,10/1/2024 13:00,26.3,23.3,47,136,240,
15,10/1/2024 14:00,26.4,23.4,46,135,245,
16,10/1/2024 15:00,26.5,23.5,45,134,250,
17,10/1/2024 16:00,26.6,23.6,44,133,255,
18,10/1/2024 17:00,26.7,23.7,43,132,260,
19,10/1/2024 18:00,26.8,23.8,42,131,265,
20,10/1/2024 19:00,26.9,23.9,41,130,270,
21,10/1/2024 20:00,27,24,40,129,275,
22,10/1/2024 21:00,27.1,24.1,39,128,280,
23,10/1/2024 22:00,27.2,24.2,38,127,285,
24,10/1/2024 23:00,27.3,24.3,37,126,290,
25,10/2/2024 0:00,27.4,24.4,36,125,295,
26,10/2/2024 1:00,27.5,24.5,35,124,300,
27,10/2/2024 2:00,27.6,24.6,34,123,305,
28,10/2/2024 3:00,27.7,24.7,33,122,310,
29,10/2/2024 4:00,27.8,24.8,32,121,315,
30,10/2/2024 5:00,27.9,24.9,31,120,320,
31,10/2/2024 6:00,28,25,30,119,325,
32,10/2/2024 7:00,28.1,25.1,29,118,330,
33,10/2/2024 8:00,28.2,25.2,28,117,335,
34,10/2/2024 9:00,28.3,25.3,27,116,340,
35,10/2/2024 10:00,28.4,25.4,26,115,345,
36,10/2/2024 11:00,28.5,25.5,25,114,350,
37,10/2/2024 12:00,28.6,25.6,24,113,355,
38,10/2/2024 13:00,28.7,25.7,23,112,360,
39,10/2/2024 14:00,28.8,25.8,22,111,365,
40,10/2/2024 15:00,28.9,25.9,21,110,370,
41,10/2/2024 16:00,29,26,20,109,375,
42,10/2/2024 17:00,29.1,26.1,19,108,380,
43,10/2/2024 18:00,29.2,26.2,18,107,385,
44,10/2/2024 19:00,29.3,26.3,17,106,390,
45,10/2/2024 20:00,29.4,26.4,16,105,395,
46,10/2/2024 21:00,29.5,26.5,15,104,400,
47,10/2/2024 22:00,29.6,26.6,14,103,405,
48,10/2/2024 23:00,29.7,26.7,13,102,410,
49,10/3/2024 0:00,29.8,26.8,12,101,415,
50,10/3/2024 1:00,29.9,26.9,11,100,420,
51,10/3/2024 2:00,30,27,10,99,425,
52,10/3/2024 3:00,30.1,27.1,9,98,430,
53,10/3/2024 4:00,30.2,27.2,8,97,435,
54,10/3/2024 5:00,30.3,27.3,7,96,440,
55,10/3/2024 6:00,30.4,27.4,6,95,445,
56,10/3/2024 7:00,30.5,27.5,5,94,450,
57,10/3/2024 8:00,30.6,27.6,4,93,455,
58,10/3/2024 9:00,30.7,27.7,3,92,460,
59,10/3/2024 10:00,30.8,27.8,2,91,465,
60,10/3/2024 11:00,30.9,27.9,1,90,470,
61,10/3/2024 12:00,31,28,0,89,475,
62,10/3/2024 13:00,31.1,28.1,1,88,480,
63,10/3/2024 14:00,31.2,28.2,2,87,485,
64,10/3/2024 15:00,31.3,28.3,3,86,490,
65,10/3/2024 16:00,31.4,28.4,4,85,495,
66,10/3/2024 17:00,31.5,28.5,5,84,500,
67,10/3/2024 18:00,31.6,28.6,6,83,505,
68,10/3/2024 19:00,31.7,28.7,7,82,510,
69,10/3/2024 20:00,31.8,28.8,8,81,515,
70,10/3/2024 21:00,31.9,28.9,9,80,520,
71,10/3/2024 22:00,32,29,10,79,525,
72,10/3/2024 23:00,32.1,29.1,11,78,530,
73,10/4/2024 0:00,32.2,29.2,12,77,535,
74,10/4/2024 1:00,32.3,29.3,13,76,540,
75,10/4/2024 2:00,32.4,29.4,14,75,545,
76,10/4/2024 3:00,32.5,29.5,15,74,550,
77,10/4/2024 4:00,32.6,29.6,16,73,555,
78,10/4/2024 5:00,32.7,29.7,17,72,560,
79,10/4/2024 6:00,32.8,29.8,18,71,565,
80,10/4/2024 7:00,32.9,29.9,19,70,570,
81,10/4/2024 8:00,33,30,20,69,575,
82,10/4/2024 9:00,33.1,30.1,21,68,580,
83,10/4/2024 10:00,33.2,30.2,22,67,585,
84,10/4/2024 11:00,33.3,30.3,23,66,590,
85,10/4/2024 12:00,33.4,30.4,24,65,595,
86,10/4/2024 13:00,33.5,30.5,25,64,600,
87,10/4/2024 14:00,33.6,30.6,26,63,605,
88,10/4/2024 15:00,33.7,30.7,27,62,610,
89,10/4/2024 16:00,33.8,30.8,28,61,615,
90,10/4/2024 17:00,33.9,30.9,29,60,620,
91,10/4/2024 18:00,34,31,30,59,625,
92,10/4/2024 19:00,34.1,31.1,31,58,630,
93,10/4/2024 20:00,34.2,31.2,32,57,635,
94,10/4/2024 21:00,34.3,31.3,33,56,640,
95,10/4/2024 22:00,34.4,31.4,34,55,645,
96,10/4/2024 23:00,34.5,31.5,35,54,650,
97,10/5/2024 0:00,34.6,31.6,36,53,655,
98,10/5/2024 1:00,34.7,31.7,37,52,660,
99,10/5/2024 2:00,34.8,31.8,38,51,665,
100,10/5/2024 3:00,34.9,31.9,39,50,670,
